3	402	2	2051	2055
40	133	2	2051	2055
50	385	2	2051	2055
67	827	2	2051	2055
75	182	2	2051	2055
91	28	1	2055
153	49	1	2051
174	118	1	2055
176	640	1	2051
202	306	1	2054
230	248	1	2051
240	128	1	2051
242	18	1	2051
244	18	1	2055
256	137	1	2051
261	105	1	2051
287	23	1	2051
296	135	1	2051
318	211	1	2051
320	52	1	2051
372	183	1	2055
416	106	1	2055
436	24	1	2051
442	25	1	2055
448	41	1	2055
458	18	1	2051
475	194	1	2051
506	5	1	2051
510	111	2	2051	2055
516	36	1	2051
529	709	1	2051
537	231	1	2051
545	70	1	2051
651	41	1	2054
778	47	1	2055
813	39	2	2051	2055
1005	95	2	2051	2055
1067	11	1	2051
1080	23	1	2055
1091	16	1	2051
1093	33	2	2051	2055
1151	47	1	2051
1183	25	1	2055
1188	36	1	2051
1207	66	1	2055
1265	9	1	2051
1363	17	1	2051
1388	8	1	2055
1419	30	1	2055
1561	45	2	2051	2055
1587	16	1	2051
1708	20	1	2051
1862	28	1	2051
1895	24	1	2055
2050	8	1	2051
2231	62	1	2055
2284	8	1	2055
2527	28	1	2051
2558	10	1	2055
2655	2	1	2055
2753	7	1	2051
3014	29	1	2051
3039	11	1	2055
3442	10	1	2051
3690	6	1	2055
3810	6	1	2051
3879	6	1	2055
4276	8	1	2051
5172	4	1	2051
5526	1	1	2051
