14	136	1	2816
44	85	1	2816
54	733	1	2816
59	236	1	2816
75	182	1	2817
107	71	1	2811
153	49	1	2817
158	258	1	2816
176	640	1	2817
189	121	1	2811
193	215	1	2816
252	193	1	2816
291	260	1	2811
374	249	1	2813
386	312	1	2816
418	223	1	2816
486	41	1	2817
504	26	1	2817
663	44	1	2816
688	133	1	2816
778	47	1	2817
816	37	1	2819
824	85	1	2816
840	79	1	2816
872	70	1	2813
916	45	1	2816
1002	106	1	2816
1052	117	1	2816
1256	59	1	2816
1376	162	1	2816
1456	19	1	2816
1520	35	1	2816
1681	12	1	2816
1796	48	1	2817
2438	14	1	2817
2808	27	1	2816
2810	4	1	2811
2815	27	1	2816
3349	16	1	2816
3368	17	1	2817
3381	13	1	2817
5734	1	1	2817
