3	402	1	2457
16	286	1	2457
18	318	1	2451
19	91	1	2457
23	134	1	2451
50	385	1	2451
64	81	1	2457
67	827	1	2457
75	182	1	2457
103	237	1	2451
131	90	1	2457
189	121	1	2457
232	92	1	2457
244	18	1	2457
247	233	2	2451	2457
264	224	1	2457
284	18	1	2451
393	119	1	2457
448	41	1	2457
468	70	1	2457
512	202	1	2451
537	231	1	2457
586	93	1	2451
590	11	1	2451
595	120	1	2457
607	45	1	2457
789	139	1	2451
850	279	1	2451
901	7	1	2451
905	125	1	2451
916	45	1	2451
1002	106	1	2451
1052	117	1	2457
1058	177	1	2457
1093	33	1	2451
1135	14	1	2451
1168	37	1	2451
1190	29	1	2457
1265	9	1	2457
1326	30	1	2457
1479	5	1	2457
1636	79	1	2457
1826	31	1	2451
1931	49	1	2457
1937	53	1	2451
2391	13	1	2457
2470	26	1	2456
2625	15	1	2451
2640	5	1	2451
3022	1	1	2454
3253	6	1	2451
3381	13	1	2457
3593	6	1	2457
3608	2	1	2456
3882	4	1	2456
