3	402	1	2679
37	139	1	2677
53	219	1	2679
54	733	1	2670
63	91	1	2679
75	182	1	2679
124	13	1	2670
158	258	1	2670
171	137	1	2677
318	211	1	2677
382	34	1	2679
386	312	1	2670
522	291	1	2679
539	55	1	2677
555	72	1	2677
597	193	1	2677
778	47	1	2674
790	49	1	2679
905	125	1	2677
999	21	1	2677
1042	16	1	2679
1069	138	1	2674
1224	81	1	2677
1227	42	1	2674
1247	39	1	2670
1313	63	1	2679
1424	57	1	2670
1582	74	1	2677
1732	25	1	2677
1879	44	1	2670
2092	49	1	2679
2120	24	1	2670
2128	52	1	2677
2188	68	1	2670
2381	49	1	2677
4260	2	1	2674
4513	2	1	2674
